cgpa,iq,placement
6.8,123,Yes
5.9,106,No
5.3,121,No
7.4,132,Yes
5.8,142,No
7.1,48,Yes
5.7,143,No
5,63,No
6.1,156,No
,66,No
6,45,Yes
6.9,138,Yes
5.4,139,No
6.4,116,Yes
6.1,103,No
5.1,176,No
5.2,224,No
3.3,183,No
4,100,No
5.2,132,No
6.6,120,Yes
7.1,151,Yes
4.9,120,No
4.7,87,No
4.7,121,No
5,91,No
7,199,Yes
6,124,Yes
5.2,90,No
7,112,Yes
7.6,128,Yes
3.9,109,No
7,139,Yes
6,149,No
4.8,163,No
6.8,90,Yes
5.7,140,No
8.1,149,Yes
6.5,160,Yes
4.6,146,No
4.9,134,No
5.4,114,No
7.6,89,Yes
6.8,141,Yes
7.5,61,Yes
6,66,Yes
5.3,114,No
5.2,161,No
6.6,138,Yes
5.4,135,No
3.5,233,No
4.8,141,No
7,175,Yes
8.3,168,Yes
,141,Yes
7.8,114,Yes
6.1,65,No
6.5,130,Yes
8,79,Yes
4.8,112,No
6.9,139,Yes
7.3,137,Yes
6,102,No
6.3,128,Yes
7,64,Yes
8.1,166,Yes
6.9,96,Yes
5,118,No
4,75,No
8.5,120,Yes
6.3,127,Yes
6.1,132,Yes
7.3,116,Yes
4.9,61,No
6.7,154,Yes
4.8,169,No
4.9,155,No
7.3,50,Yes
6.1,81,No
6.5,90,Yes
4.9,196,No
,107,No
6.5,37,Yes
7.5,130,Yes
5.7,169,No
,166,Yes
5.1,128,No
5.7,132,Yes
4.4,149,No
4.9,151,No
7.3,86,Yes
,158,Yes
5.2,110,No
6.8,112,Yes
4.7,52,No
4.3,200,No
4.4,42,No
6.7,182,Yes
6.3,103,Yes
6.2,113,Yes
